user_id,gender,gender_label,age_group,age_label,time_taken_sec,pref_childhood,region_childhood,region_childhood_label,eastwest_childhood,eastwest_childhood_label,pref_current,region_current,region_current_label,eastwest_current,eastwest_current_label,moved
1,0,male,2,30-39,355,0,0,Hokkaido,0,Eastern_Japan,0,0,Hokkaido,0,Eastern_Japan,0
2,1,female,1,20-29,214,26,6,Kinki,1,Western_Japan,26,6,Kinki,1,Western_Japan,0
3,1,female,2,30-39,363,29,6,Kinki,1,Western_Japan,26,6,Kinki,1,Western_Japan,1
4,0,male,4,50-59,395,40,9,Kyushu,1,Western_Japan,26,6,Kinki,1,Western_Japan,1
5,1,female,1,20-29,707,26,6,Kinki,1,Western_Japan,36,8,Shikoku,1,Western_Japan,1
6,1,female,2,30-39,276,12,3,Kanto_Shizuoka,0,Eastern_Japan,13,3,Kanto_Shizuoka,0,Eastern_Japan,1
7,0,male,3,40-49,241,0,0,Hokkaido,0,Eastern_Japan,0,0,Hokkaido,0,Eastern_Japan,0
8,1,female,2,30-39,196,0,0,Hokkaido,0,Eastern_Japan,13,3,Kanto_Shizuoka,0,Eastern_Japan,1
9,0,male,2,30-39,336,42,9,Kyushu,1,Western_Japan,39,9,Kyushu,1,Western_Japan,1
10,1,female,0,15-19,308,18,5,Chukyo,0,Eastern_Japan,18,5,Chukyo,0,Eastern_Japan,0
11,1,female,1,20-29,623,27,6,Kinki,1,Western_Japan,27,6,Kinki,1,Western_Japan,0
12,1,female,1,20-29,416,13,3,Kanto_Shizuoka,0,Eastern_Japan,13,3,Kanto_Shizuoka,0,Eastern_Japan,0
13,1,female,2,30-39,191,26,6,Kinki,1,Western_Japan,26,6,Kinki,1,Western_Japan,0
14,0,male,3,40-49,195,16,3,Kanto_Shizuoka,0,Eastern_Japan,16,3,Kanto_Shizuoka,0,Eastern_Japan,0
15,1,female,2,30-39,234,10,3,Kanto_Shizuoka,0,Eastern_Japan,8,3,Kanto_Shizuoka,0,Eastern_Japan,1
16,0,male,2,30-39,192,18,5,Chukyo,0,Eastern_Japan,13,3,Kanto_Shizuoka,0,Eastern_Japan,1
17,1,female,2,30-39,431,31,7,Chugoku,1,Western_Japan,11,3,Kanto_Shizuoka,0,Eastern_Japan,1
18,0,male,2,30-39,222,40,9,Kyushu,1,Western_Japan,12,3,Kanto_Shizuoka,0,Eastern_Japan,1
19,0,male,2,30-39,296,10,3,Kanto_Shizuoka,0,Eastern_Japan,10,3,Kanto_Shizuoka,0,Eastern_Japan,0
20,1,female,2,30-39,380,32,7,Chugoku,1,Western_Japan,14,3,Kanto_Shizuoka,0,Eastern_Japan,1
21,0,male,1,20-29,238,13,3,Kanto_Shizuoka,0,Eastern_Japan,13,3,Kanto_Shizuoka,0,Eastern_Japan,0
22,0,male,3,40-49,378,15,4,Nagano_Yamanashi,0,Eastern_Japan,15,4,Nagano_Yamanashi,0,Eastern_Japan,0
23,0,male,3,40-49,289,40,9,Kyushu,1,Western_Japan,40,9,Kyushu,1,Western_Japan,0
