model,parameter,coef,se,z,p_value,ci_low,ci_high
M2_asc,asc_anago,0.18305,0.06326,2.89369,0.00381,0.05906,0.30703
M2_asc,asc_maguro,-0.12545,0.06825,-1.83804,0.06606,-0.25923,0.00832
M2_asc,asc_ika,-0.69752,0.08105,-8.60591,0.0,-0.85638,-0.53866
M2_asc,asc_uni,0.4892,0.05935,8.24295,0.0,0.37288,0.60552
M2_asc,asc_ikura,0.17392,0.06339,2.7436,0.00608,0.04967,0.29816
M2_asc,asc_tamago,-0.79899,0.08389,-9.52413,0.0,-0.96342,-0.63457
M2_asc,asc_toro,1.31913,0.0526,25.07667,0.0,1.21603,1.42224
M2_asc,asc_tekka_maki,-1.39948,0.10504,-13.32358,0.0,-1.60536,-1.19361
M2_asc,asc_kappa_maki,-2.54335,0.17309,-14.69355,0.0,-2.88261,-2.20409

# LR M1 vs M2: LR=191.32 df=6 p=1.33e-38 (reject H0)
